fov,sep,width,vel,dps,foot
3.1,695,135.0262482,140,48,36.92973069
3.2,615,543.0087028,100,46,32.89279882
3.2,620,519.7676898,110,46,33.1223996
3.2,625,495.2357533,115,46,33.40071502
3.2,630,469.2104553,125,46,33.65203298
3.2,635,441.4277419,130,46,33.95062587
3.2,640,411.5318351,140,46,34.22878074
3.2,645,379.0230222,140,48,34.61724174
3.2,650,343.1595129,140,48,34.97852726
3.2,655,302.7514679,140,48,35.3523143
3.2,660,255.6529901,140,48,35.74296627
3.2,665,197.125471,140,48,36.16054552
3.2,670,110.2653677,140,50,36.64977548
3.3,590,532.6100302,105,48,32.53827023
3.3,595,509.8759106,110,48,32.80552999
3.3,600,485.8738975,115,48,33.08070432
3.3,605,460.4057387,125,48,33.32992317
3.3,610,433.2129318,135,48,33.59229456
3.3,615,403.9473286,140,48,33.90056596
3.3,620,372.1202014,140,50,34.28161948
3.3,625,337.0065938,140,50,34.63814044
3.3,630,297.4448592,140,50,35.00672268
3.3,635,251.3432797,140,52,35.41189043
3.3,640,194.0964818,140,52,35.81877268
3.3,645,109.4232345,140,52,36.28351201
3.4,560,545.5959146,100,50,31.93914949
3.4,565,524.5711601,105,50,32.19519991
3.4,570,502.468807,110,50,32.45836954
3.4,575,479.1397521,115,50,32.72926778
3.4,580,454.3950947,125,50,32.97490768
3.4,585,427.9893714,140,52,33.2358024
3.4,590,399.5934209,140,50,33.53631538
3.4,595,368.7477485,140,52,33.9093114
3.4,600,334.7758982,140,52,34.25946922
3.4,605,296.6056339,140,54,34.64363036
3.4,610,252.3388635,140,54,35.0176943
3.4,615,197.9265067,140,54,35.4149384
3.4,620,120.3116871,140,54,35.86127445
3.5,535,539.8477189,100,52,31.57674335
3.5,540,519.5532308,105,52,31.82768891
3.5,545,498.2324353,110,54,32.11486533
3.5,550,475.7473695,115,52,32.35101184
3.5,555,451.9242853,130,54,32.59028423
3.5,560,426.5390482,140,54,32.84540851
3.5,565,399.2938262,140,54,33.1710166
3.5,570,369.7777165,140,54,33.5042675
3.5,575,337.3952572,140,56,33.87069498
3.5,580,301.223438,140,56,34.22111458
3.5,585,259.6835759,140,56,34.58522796
3.5,590,209.6081096,140,56,34.96926917
3.5,595,142.2517473,140,58,35.40006713
3.6,515,517.9342346,100,54,31.477552
3.6,520,497.5498682,110,54,31.69243327
3.6,525,476.0838911,115,54,31.95104894
3.6,530,453.3826985,125,56,32.21394428
3.6,535,429.2503597,130,56,32.49014693
3.6,540,403.4301319,140,56,32.74730255
3.6,545,375.5740557,140,56,33.07174353
3.6,550,345.1896165,140,58,33.42803647
3.6,555,311.5379132,140,58,33.76817445
3.6,560,273.4151995,140,60,34.13788025
3.6,565,228.5954316,140,60,34.50332976
3.6,570,171.9182112,140,60,34.89448858
3.6,575,81.58352366,140,60,35.35250979
3.7,490,517.3400209,100,56,31.07975002
3.7,495,497.9364389,105,56,31.32274941
3.7,500,477.536069,115,58,31.56566663
3.7,505,456.0051504,120,58,31.82419533
3.7,510,433.1751346,130,58,32.06065232
3.7,515,408.8284447,140,58,32.30883467
3.7,520,382.6757076,140,60,32.64861606
3.7,525,354.3172268,140,60,32.9693699
3.7,530,323.1728596,140,60,33.29855058
3.7,535,288.341286,140,60,33.63823146
3.7,540,248.2754462,140,60,33.99122517
3.7,545,199.851688,140,60,34.36384705
3.7,550,134.3156625,140,60,34.77297642
3.8,465,517.4734693,100,60,30.70087174
3.8,470,499.0779412,105,58,30.9123673
3.8,475,479.7695191,110,60,31.17836806
3.8,480,459.4331196,120,60,31.39609182
3.8,485,437.9255547,125,60,31.65345369
3.8,490,415.0648039,135,60,31.89039682
3.8,495,390.6133529,140,60,32.16643249
3.8,500,364.2510006,140,60,32.47809277
3.8,505,335.5276314,140,60,32.7976342
3.8,510,303.7742442,140,60,33.12644793
3.8,515,267.9156424,140,60,33.4668287
3.8,520,226.0061756,140,60,33.82266899
3.8,525,173.7204404,140,60,34.20268648
3.8,530,95.28269217,140,60,34.63835733
3.9,450,483.2350189,105,60,30.7670773
3.9,455,464.1293823,110,60,31.00517199
3.9,460,443.9775709,115,60,31.25024458
