fov,sep,width,vel,dps,foot
3.6,550,345.18961648933544,140,58,33.42803647091233
3.6,555,311.5379131535269,140,58,33.76817445066471
3.6,560,273.4151995263879,140,60,34.1378802507503
3.6,565,228.5954315642692,140,60,34.503329757365016
3.6,570,171.9182111704705,140,60,34.89448858241868
3.6,575,81.58352365554268,140,60,35.352509793295745
3.7,490,517.3400208771253,100,56,31.079750023747216
3.7,495,497.93643891680034,105,56,31.322749407455593
3.7,500,477.53606900541496,115,58,31.56566663461024
3.7,505,456.005150410765,120,58,31.824195326034687
3.7,510,433.1751345600812,130,58,32.060652315283406
3.7,515,408.82844470651065,140,58,32.308834670512276
3.7,520,382.67570761827096,140,60,32.64861605937388
3.7,525,354.3172267913944,140,60,32.969369903625676
3.7,530,323.17285962955555,140,60,33.2985505788732
3.7,535,288.3412859809438,140,60,33.63823146360109
3.7,540,248.2754462308837,140,60,33.991225174716014
3.7,545,199.8516880117464,140,60,34.363847048261285
3.7,550,134.31566253101093,140,60,34.77297642179362
3.8,465,517.4734692977042,100,60,30.70087174278315
3.8,470,499.07794123463526,105,58,30.912367301462453
3.8,475,479.7695190682731,110,60,31.178368062539793
3.8,480,459.43311964528857,120,60,31.39609181807341
3.8,485,437.92555466312086,125,60,31.65345368810961
3.8,490,415.0648038885037,135,60,31.890396822881726
3.8,495,390.6133528529229,140,60,32.16643249270878
3.8,500,364.2510005847644,140,60,32.478092771989154
3.8,505,335.5276313912195,140,60,32.79763419663702
3.8,510,303.774244179789,140,60,33.12644792993873
3.8,515,267.91564237088147,140,60,33.466828696008264
3.8,520,226.00617563907863,140,60,33.822668993788234
3.8,525,173.72044044096268,140,60,34.20268647990757
3.8,530,95.28269216915555,140,60,34.638357326240765
3.9,450,483.23501890852805,105,60,30.767077299657096
3.9,455,464.1293822842133,110,60,31.00517198938144
3.9,460,443.9775709419626,115,60,31.2502445753071
3.9,465,422.6299604849678,125,60,31.47340788692022
3.9,470,399.8950906169335,135,60,31.7075205219417
3.9,475,375.521082629891,140,60,31.98083783292142
3.9,480,349.1648371464765,140,60,32.28963996812819
3.9,485,320.3374525395453,140,60,32.6070260370056
3.9,490,288.2986012791693,140,60,32.934296027291225
3.9,495,251.82550208333834,140,60,33.274053138293034
3.9,500,208.6050898217142,140,60,33.63123453574081
3.9,505,153.0231469403418,140,60,34.01721016904792
4.0,430,468.8575597856681,100,60,30.623250155044673
4.0,435,450.03045604511186,110,60,30.823854990697953
4.0,440,430.14812724010704,115,60,31.064488338498258
4.0,445,409.0567336790477,120,60,31.312942114366827
4.0,450,386.5584190884624,130,60,31.541907592124645
4.0,455,362.39124074426985,140,60,31.78343380064493
4.0,460,336.1954957583033,140,60,32.08875782851375
4.0,465,307.453104339786,140,60,32.402852094445294
4.0,470,275.36777474528736,140,60,32.72740865350404
4.0,475,238.59465913588957,140,60,33.065427334878734
4.0,480,194.49270260904734,140,60,33.42254646565032
4.0,485,136.1154339822319,140,60,33.813318359019874
4.1,410,455.81096741829253,100,60,30.442511327845722
4.1,415,437.3369845082848,105,60,30.66950961894763
4.1,420,417.8081354148094,110,60,30.90374181897463
4.1,425,397.068807662853,120,60,31.116629906709967
4.1,430,374.91817509798017,130,60,31.340838158489596
4.1,435,351.08921660854196,140,60,31.57776748218645
4.1,440,325.2132193174191,140,60,31.878482469740202
4.1,445,296.7551819577877,140,60,32.18832831478086
4.1,450,264.8841973746258,140,60,32.5090844216302
4.1,455,228.17457794153955,140,60,32.844023566603454
4.1,460,183.74884494548454,140,60,33.1992394007012
4.1,465,123.54609673639922,140,60,33.59241903480417
4.2,395,425.8993176522744,105,60,30.482324071520058
4.2,400,406.8049025966538,110,60,30.7104584900418
4.2,405,386.5103216948714,115,60,30.946541790349176
4.2,410,364.81533517201956,125,60,31.163622843330177
4.2,415,341.45311358468086,135,60,31.39343666789589
4.2,420,316.0541548163431,140,60,31.66242500039457
4.2,425,288.0802471129754,140,60,31.96685936141867
4.2,430,256.690920713361,140,60,32.282614448298375
4.2,435,220.43191415190535,140,60,32.61292449845846
4.2,440,176.32421494699182,140,60,32.964391696325336
4.2,445,115.71615607456451,140,60,33.35635430333203
