fov,sep,width,vel,dps,foot
2.0,1560.0,935.804,115.0,20.0,57.3407
2.0,1562.0,922.363,115.0,20.0,57.4671
2.0,1564.0,908.706,120.0,20.0,57.5328
2.0,1566.0,894.822,120.0,20.0,57.6612
2.0,1568.0,880.701,125.0,20.0,57.7307
2.0,1570.0,866.331,125.0,20.0,57.8612
2.0,1572.0,851.701,130.0,20.0,57.9346
2.0,1574.0,836.795,130.0,20.0,58.0673
2.0,1576.0,821.6,135.0,20.0,58.145
2.0,1578.0,806.098,135.0,20.0,58.2801
2.0,1580.0,790.272,140.0,20.0,58.3623
2.0,1582.0,774.102,140.0,20.0,58.5001
2.0,1584.0,757.566,140.0,20.0,58.6387
2.0,1586.0,740.639,140.0,20.0,58.7783
2.0,1588.0,723.294,140.0,20.0,58.9189
2.0,1590.0,705.5,140.0,20.0,59.0605
2.0,1592.0,687.222,140.0,20.0,59.2032
2.0,1594.0,668.42,140.0,20.0,59.347
2.0,1596.0,649.05,140.0,20.0,59.4922
2.0,1598.0,629.058,140.0,20.0,59.6387
2.0,1600.0,608.383,140.0,20.0,59.7867
2.0,1602.0,586.953,140.0,20.0,59.9364
2.0,1604.0,564.682,140.0,20.0,60.0878
2.0,1606.0,541.466,140.0,20.0,60.2412
2.0,1608.0,517.179,140.0,20.0,60.3969
2.0,1610.0,491.66,140.0,20.0,60.5551
2.0,1612.0,464.708,140.0,20.0,60.7163
2.0,1614.0,436.057,140.0,20.0,60.8809
2.0,1616.0,405.347,140.0,20.0,61.0496
2.0,1618.0,372.067,140.0,20.0,61.2235
2.0,1620.0,335.455,140.0,20.0,61.4039
2.0,1622.0,294.268,140.0,20.0,61.5933
2.0,1624.0,246.223,140.0,20.0,61.796
2.0,1626.0,186.08,140.0,20.0,62.022
2.2,1398.0,1023.48,100.0,22.0,54.2844
2.2,1400.0,1012.486,100.0,22.0,54.4031
2.2,1402.0,1001.355,100.0,22.0,54.5221
2.2,1404.0,990.083,105.0,22.0,54.5756
2.2,1406.0,978.664,105.0,22.0,54.6961
2.2,1408.0,967.094,105.0,22.0,54.817
2.2,1410.0,955.368,105.0,22.0,54.9383
2.2,1412.0,943.478,110.0,22.0,54.9969
2.2,1414.0,931.42,110.0,22.0,55.1198
2.2,1416.0,919.186,115.0,22.0,55.1815
2.2,1418.0,906.77,115.0,22.0,55.306
2.2,1420.0,894.163,115.0,22.0,55.4311
2.2,1422.0,881.358,120.0,22.0,55.4973
2.2,1424.0,868.345,120.0,22.0,55.6242
2.2,1426.0,855.116,125.0,22.0,55.694
2.2,1428.0,841.66,125.0,22.0,55.8228
2.2,1430.0,827.966,125.0,22.0,55.9522
2.2,1432.0,814.022,130.0,22.0,56.0273
2.2,1434.0,799.815,130.0,22.0,56.1589
2.2,1436.0,785.33,135.0,22.0,56.238
2.2,1438.0,770.553,140.0,22.0,56.3197
2.2,1440.0,755.465,140.0,22.0,56.4554
2.2,1442.0,740.048,140.0,22.0,56.5919
2.2,1444.0,724.281,140.0,22.0,56.7293
2.2,1446.0,708.141,140.0,22.0,56.8676
2.2,1448.0,691.601,140.0,22.0,57.0069
2.2,1450.0,674.631,140.0,22.0,57.1471
2.2,1452.0,657.2,140.0,22.0,57.2885
2.2,1454.0,639.268,140.0,22.0,57.431
2.2,1456.0,620.793,140.0,22.0,57.5747
2.2,1458.0,601.724,140.0,22.0,57.7198
2.2,1460.0,582.003,140.0,22.0,57.8663
2.2,1462.0,561.562,140.0,22.0,58.0144
2.2,1464.0,540.318,140.0,22.0,58.1643
2.2,1466.0,518.173,140.0,22.0,58.3161
2.2,1468.0,495.007,140.0,22.0,58.47
2.2,1470.0,470.667,140.0,22.0,58.6264
2.2,1472.0,444.962,140.0,22.0,58.7856
2.2,1474.0,417.64,140.0,22.0,58.9481
2.2,1476.0,388.36,140.0,22.0,59.1146
2.2,1478.0,356.639,140.0,22.0,59.286
2.2,1480.0,321.757,140.0,22.0,59.4636
2.2,1482.0,282.545,140.0,22.0,59.6497
2.2,1484.0,236.862,140.0,22.0,59.8485
2.2,1486.0,179.843,140.0,22.0,60.0691
2.4,1258.0,1061.23,100.0,26.0,51.7785
2.4,1260.0,1051.697,100.0,26.0,51.8922
2.4,1262.0,1042.06,100.0,26.0,52.0061
2.4,1264.0,1032.319,100.0,26.0,52.1204
2.4,1266.0,1022.468,100.0,26.0,52.235
2.4,1268.0,1012.507,105.0,26.0,52.2882
2.4,1270.0,1002.43,105.0,26.0,52.404
2.4,1272.0,992.235,105.0,26.0,52.5202
2.4,1274.0,981.917,110.0,26.0,52.5767
2.4,1276.0,971.474,110.0,26.0,52.6941
2.4,1278.0,960.9,110.0,26.0,52.8119
2.4,1280.0,950.192,110.0,26.0,52.9301
2.4,1282.0,939.345,115.0,26.0,52.991
2.4,1284.0,928.354,115.0,26.0,53.1106
2.4,1286.0,917.214,115.0,26.0,53.2306
2.4,1288.0,905.919,120.0,26.0,53.2952
2.4,1290.0,894.464,120.0,26.0,53.4166
2.4,1292.0,882.842,125.0,26.0,53.4841
2.4,1294.0,871.046,125.0,26.0,53.6071
2.4,1296.0,859.07,125.0,26.0,53.7307
2.4,1298.0,846.906,130.0,26.0,53.8023
2.4,1300.0,834.545,130.0,26.0,53.9275
2.4,1302.0,821.979,135.0,26.0,54.0023
2.4,1304.0,809.198,135.0,26.0,54.1294
2.4,1306.0,796.192,140.0,26.0,54.2076
2.4,1308.0,782.949,140.0,26.0,54.3366
2.4,1310.0,769.458,140.0,26.0,54.4664
2.4,1312.0,755.705,140.0,26.0,54.5967
2.4,1314.0,741.675,140.0,26.0,54.7278
2.4,1316.0,727.353,140.0,26.0,54.8596
2.4,1318.0,712.72,140.0,26.0,54.9921
2.4,1320.0,697.758,140.0,26.0,55.1255
2.4,1322.0,682.444,140.0,26.0,55.2596
2.4,1324.0,666.755,140.0,26.0,55.3946
2.4,1326.0,650.663,140.0,26.0,55.5306
2.4,1328.0,634.137,140.0,26.0,55.6675
2.4,1330.0,617.143,140.0,26.0,55.8055
2.4,1332.0,599.641,140.0,26.0,55.9445
2.4,1334.0,581.586,140.0,26.0,56.0848
2.4,1336.0,562.922,140.0,26.0,56.2263
2.4,1338.0,543.59,140.0,26.0,56.3692
2.4,1340.0,523.513,140.0,26.0,56.5137
2.4,1342.0,502.603,140.0,26.0,56.6598
2.4,1344.0,480.751,140.0,26.0,56.8079
2.4,1346.0,457.823,140.0,26.0,56.958
2.4,1348.0,433.647,140.0,26.0,57.1106
2.4,1350.0,408.002,140.0,26.0,57.266
2.4,1352.0,380.591,140.0,26.0,57.4247
2.4,1354.0,351.001,140.0,26.0,57.5876
2.4,1356.0,318.625,140.0,26.0,57.7555
2.4,1358.0,282.506,140.0,26.0,57.9303
