fov,sep,width,vel,dps,foot,,,,,,,,
1.6,3900,4560.117672,140,20,340.0028971,,,,,,,,
1.6,3905,4542.969644,140,20,340.9121473,,,,,,,,
1.6,3910,4525.734546,140,20,341.8228106,,,,,,,,
1.6,3915,4508.411381,140,20,342.7348895,,,,,,,,
1.6,3920,4490.99913,140,20,343.648387,,,,,,,,
1.6,3925,4473.496751,140,20,344.563306,,,,,,,,
1.6,3930,4455.903184,140,20,345.4796493,,,,,,,,
1.6,3935,4438.217343,140,20,346.39742,,,,,,,,
1.6,3940,4420.438121,140,20,347.316621,,,,,,,,
1.6,3945,4402.564387,140,20,348.2372556,,,,,,,,
1.6,3950,4384.594985,140,20,349.1593269,,,,,,,,
1.6,3955,4366.528734,140,20,350.082838,,,,,,,,
1.6,3960,4348.364426,140,20,351.0077924,,,,,,,,
1.6,3965,4330.100828,140,20,351.9341934,,,,,,,,
1.6,3970,4311.736678,140,20,352.8620445,,,,,,,,
1.6,3975,4293.270686,140,20,353.7913492,,,,,,,,
1.6,3980,4274.701531,140,20,354.7221111,,,,,,,,
1.6,3985,4256.027864,140,20,355.6543339,,,,,,,,
1.6,3990,4237.248303,140,20,356.5880214,,,,,,,,
1.6,3995,4218.361433,140,20,357.5231773,,,,,,,,
1.6,4000,4199.365807,140,20,358.4598058,,,,,,,,
1.6,4005,4180.259942,140,20,359.3979108,,,,,,,,
1.6,4010,4161.042319,140,20,360.3374963,,,,,,,,
1.6,4015,4141.711383,140,20,361.2785668,,,,,,,,
1.6,4020,4122.26554,140,20,362.2211265,,,,,,,,
1.6,4025,4102.703156,140,20,363.1651798,,,,,,,,
1.6,4030,4083.022555,140,20,364.1107312,,,,,,,,
1.6,4035,4063.22202,140,20,365.0577855,,,,,,,,
1.6,4040,4043.299789,140,20,366.0063474,,,,,,,,
1.6,4045,4023.254054,140,20,366.9564217,,,,,,,,
1.6,4050,4003.08296,140,20,367.9080136,,,,,,,,
1.6,4055,3982.784602,140,20,368.8611281,,,,,,,,
1.6,4060,3962.357024,140,20,369.8157705,,,,,,,,
1.6,4065,3941.798217,140,20,370.7719463,,,,,,,,
1.6,4070,3921.106117,140,20,371.7296609,,,,,,,,
1.6,4075,3900.278603,140,20,372.6889202,,,,,,,,
1.6,4080,3879.313494,140,20,373.64973,,,,,,,,
1.6,4085,3858.208546,140,20,374.6120962,,,,,,,,
1.6,4090,3836.961452,140,20,375.5760252,,,,,,,,
1.6,4095,3815.569837,140,20,376.5415232,,,,,,,,
1.6,4100,3794.031258,140,20,377.5085968,,,,,,,,
1.6,4105,3772.343195,140,20,378.4772529,,,,,,,,
1.6,4110,3750.503057,140,20,379.4474982,,,,,,,,
