fov,sep,width,vel,dps,foot,,,,,,,,
3.7,1575,2489.343,140,60,107.8117,,,,,,,,
3.7,1577,2484.273,140,60,108.0145,,,,,,,,
3.7,1579,2479.186,140,60,108.2175,,,,,,,,
3.7,1581,2474.083,140,60,108.4209,,,,,,,,
3.7,1583,2468.962,140,60,108.6245,,,,,,,,
3.7,1585,2463.824,140,60,108.8284,,,,,,,,
3.7,1587,2458.669,140,60,109.0326,,,,,,,,
3.7,1589,2453.497,140,60,109.237,,,,,,,,
3.7,1591,2448.307,140,60,109.4418,,,,,,,,
3.7,1593,2443.099,140,58,109.5615,,,,,,,,
3.7,1595,2437.874,140,58,109.7669,,,,,,,,
3.7,1597,2432.631,140,58,109.9726,,,,,,,,
3.7,1599,2427.37,140,60,110.2636,,,,,,,,
3.7,1601,2422.091,140,60,110.4697,,,,,,,,
3.7,1603,2416.794,140,60,110.6762,,,,,,,,
3.7,1605,2411.479,140,60,110.8829,,,,,,,,
3.7,1607,2406.145,140,60,111.0899,,,,,,,,
3.7,1609,2400.793,140,60,111.2972,,,,,,,,
3.7,1611,2395.422,140,60,111.5048,,,,,,,,
3.7,1613,2390.032,140,60,111.7127,,,,,,,,
3.7,1615,2384.623,140,60,111.9208,,,,,,,,
3.7,1617,2379.196,140,60,112.1293,,,,,,,,
3.7,1619,2373.749,140,60,112.338,,,,,,,,
3.7,1621,2368.283,140,60,112.547,,,,,,,,
3.7,1623,2362.798,140,60,112.7563,,,,,,,,
3.7,1625,2357.293,140,60,112.9659,,,,,,,,
3.7,1627,2351.768,140,60,113.1757,,,,,,,,
3.7,1629,2346.224,140,60,113.3859,,,,,,,,
3.7,1631,2340.659,140,60,113.5963,,,,,,,,
3.7,1633,2335.075,140,58,113.7241,,,,,,,,
3.7,1635,2329.47,140,58,113.9352,,,,,,,,
3.7,1637,2323.844,140,58,114.1466,,,,,,,,
3.7,1639,2318.199,140,60,114.441,,,,,,,,
3.7,1641,2312.532,140,60,114.6528,,,,,,,,
3.7,1643,2306.845,140,60,114.865,,,,,,,,
3.7,1645,2301.137,140,60,115.0774,,,,,,,,
3.7,1647,2295.407,140,60,115.2902,,,,,,,,
3.7,1649,2289.656,140,60,115.5032,,,,,,,,
3.7,1651,2283.884,140,60,115.7165,,,,,,,,
3.7,1653,2278.09,140,60,115.9301,,,,,,,,
3.7,1655,2272.274,140,60,116.144,,,,,,,,
3.7,1657,2266.436,140,60,116.3582,,,,,,,,
3.7,1659,2260.576,140,60,116.5727,,,,,,,,
3.7,1661,2254.694,140,60,116.7874,,,,,,,,
3.7,1663,2248.789,140,60,117.0025,,,,,,,,
3.7,1665,2242.862,140,60,117.2178,,,,,,,,
3.7,1667,2236.912,140,60,117.4334,,,,,,,,
3.7,1669,2230.938,140,60,117.6494,,,,,,,,
3.7,1671,2224.942,140,60,117.8656,,,,,,,,
3.7,1673,2218.922,140,58,118.0018,,,,,,,,
3.7,1675,2212.878,140,58,118.2188,,,,,,,,
3.7,1677,2206.811,140,58,118.436,,,,,,,,
3.7,1679,2200.719,140,60,118.7333,,,,,,,,
3.7,1681,2194.604,140,60,118.951,,,,,,,,
3.7,1683,2188.464,140,60,119.169,,,,,,,,
3.7,1685,2182.299,140,60,119.3872,,,,,,,,
3.7,1687,2176.11,140,60,119.6058,,,,,,,,
3.7,1689,2169.895,140,60,119.8246,,,,,,,,
3.7,1691,2163.656,140,60,120.0437,,,,,,,,
3.7,1693,2157.39,140,60,120.2632,,,,,,,,
3.7,1695,2151.1,140,60,120.4829,,,,,,,,
3.7,1697,2144.783,140,60,120.7029,,,,,,,,
3.7,1699,2138.44,140,60,120.9232,,,,,,,,
3.7,1701,2132.071,140,60,121.1438,,,,,,,,
3.7,1703,2125.675,140,60,121.3647,,,,,,,,
3.7,1705,2119.252,140,60,121.5859,,,,,,,,
3.7,1707,2112.802,140,60,121.8074,,,,,,,,
3.7,1709,2106.325,140,58,121.9519,,,,,,,,
3.7,1711,2099.82,140,58,122.1742,,,,,,,,
3.7,1713,2093.288,140,58,122.3967,,,,,,,,
3.7,1715,2086.727,140,60,122.6963,,,,,,,,
3.7,1717,2080.138,140,60,122.9193,,,,,,,,
3.7,1719,2073.52,140,60,123.1426,,,,,,,,
3.7,1721,2066.873,140,60,123.3662,,,,,,,,
3.7,1723,2060.197,140,60,123.59,,,,,,,,
3.7,1725,2053.492,140,60,123.8142,,,,,,,,
3.7,1727,2046.757,140,60,124.0387,,,,,,,,
3.7,1729,2039.991,140,60,124.2634,,,,,,,,
3.7,1731,2033.196,140,60,124.4885,,,,,,,,
3.7,1733,2026.369,140,60,124.7139,,,,,,,,
3.7,1735,2019.512,140,60,124.9395,,,,,,,,
3.7,1737,2012.623,140,60,125.1655,,,,,,,,
3.7,1739,2005.703,140,60,125.3918,,,,,,,,
3.7,1741,1998.751,140,60,125.6183,,,,,,,,
3.7,1743,1991.766,140,60,125.8452,,,,,,,,
3.7,1745,1984.749,140,58,125.9985,,,,,,,,
3.7,1747,1977.699,140,58,126.2262,,,,,,,,
3.7,1749,1970.615,140,60,126.5277,,,,,,,,
3.7,1751,1963.498,140,60,126.7558,,,,,,,,
3.7,1753,1956.347,140,60,126.9842,,,,,,,,
3.7,1755,1949.161,140,60,127.2129,,,,,,,,
3.7,1757,1941.941,140,60,127.4419,,,,,,,,
3.7,1759,1934.685,140,60,127.6712,,,,,,,,
3.7,1761,1927.393,140,60,127.9008,,,,,,,,
3.7,1763,1920.066,140,60,128.1307,,,,,,,,
3.7,1765,1912.702,140,60,128.361,,,,,,,,
3.7,1767,1905.301,140,60,128.5915,,,,,,,,
3.7,1769,1897.863,140,60,128.8224,,,,,,,,
3.7,1771,1890.388,140,60,129.0535,,,,,,,,
3.7,1773,1882.874,140,60,129.285,,,,,,,,
3.7,1775,1875.321,140,60,129.5168,,,,,,,,
3.7,1777,1867.729,140,58,129.6785,,,,,,,,
3.7,1779,1860.098,140,58,129.9111,,,,,,,,
3.7,1781,1852.427,140,58,130.1441,,,,,,,,
3.7,1783,1844.715,140,60,130.447,,,,,,,,
3.7,1785,1836.962,140,60,130.6804,,,,,,,,
3.7,1787,1829.167,140,60,130.914,,,,,,,,
3.7,1789,1821.331,140,60,131.148,,,,,,,,
3.7,1791,1813.451,140,60,131.3823,,,,,,,,
3.7,1793,1805.529,140,60,131.6169,,,,,,,,
3.7,1795,1797.562,140,60,131.8518,,,,,,,,
3.7,1797,1789.551,140,60,132.0871,,,,,,,,
3.7,1799,1781.495,140,60,132.3226,,,,,,,,
3.7,1801,1773.394,140,60,132.5585,,,,,,,,
3.7,1803,1765.246,140,60,132.7947,,,,,,,,
3.7,1805,1757.051,140,60,133.0312,,,,,,,,
3.7,1807,1748.809,140,60,133.2681,,,,,,,,
3.7,1809,1740.519,140,58,133.4388,,,,,,,,
3.7,1811,1732.179,140,58,133.6766,,,,,,,,
3.7,1813,1723.79,140,60,133.9805,,,,,,,,
3.7,1815,1715.351,140,60,134.2187,,,,,,,,
3.7,1817,1706.861,140,60,134.4571,,,,,,,,
3.7,1819,1698.318,140,60,134.6959,,,,,,,,
3.7,1821,1689.723,140,60,134.9351,,,,,,,,
3.7,1823,1681.075,140,60,135.1745,,,,,,,,
3.7,1825,1672.372,140,60,135.4143,,,,,,,,
3.7,1827,1663.615,140,60,135.6544,,,,,,,,
3.7,1829,1654.801,140,60,135.8948,,,,,,,,
3.7,1831,1645.93,140,60,136.1356,,,,,,,,
3.7,1833,1637.001,140,60,136.3767,,,,,,,,
3.7,1835,1628.014,140,60,136.6182,,,,,,,,
3.7,1837,1618.967,140,58,136.7976,,,,,,,,
3.7,1839,1609.859,140,58,137.04,,,,,,,,
3.7,1841,1600.689,140,60,137.3446,,,,,,,,
3.7,1843,1591.456,140,60,137.5874,,,,,,,,
3.7,1845,1582.16,140,60,137.8305,,,,,,,,
3.7,1847,1572.798,140,60,138.074,,,,,,,,
3.7,1849,1563.37,140,60,138.3179,,,,,,,,
3.7,1851,1553.874,140,60,138.562,,,,,,,,
3.7,1853,1544.31,140,60,138.8066,,,,,,,,
3.7,1855,1534.676,140,60,139.0515,,,,,,,,
3.7,1857,1524.97,140,60,139.2967,,,,,,,,
3.7,1859,1515.191,140,60,139.5423,,,,,,,,
3.7,1861,1505.339,140,60,139.7882,,,,,,,,
3.7,1863,1495.411,140,60,140.0345,,,,,,,,
3.7,1865,1485.405,140,58,140.2234,,,,,,,,
