sample_index,log_frame_index,timestamp,time_s,fov_deg,uav_lat,uav_lon,uav_alt,actual_area_m2,predicted_area_m2,area_error_m2,area_error_pct,centroid_error_m,corner_error_c1_m,corner_error_c2_m,corner_error_c3_m,corner_error_c4_m,mean_corner_error_m,max_corner_error_m,actual_center_lat,actual_center_lon,predicted_center_lat,predicted_center_lon,actual_c1_lat,actual_c1_lon,predicted_c1_lat,predicted_c1_lon,actual_c2_lat,actual_c2_lon,predicted_c2_lat,predicted_c2_lon,actual_c3_lat,actual_c3_lon,predicted_c3_lat,predicted_c3_lon,actual_c4_lat,actual_c4_lon,predicted_c4_lat,predicted_c4_lon
23,23,825297857780,4.602,2.000000,38.060387000,127.269080000,797.000000,3198.128679,13431.699537,10233.570858,319.986213,60.551888,124.050366,145.692427,14.583397,39.598904,80.981274,145.692427,38.076527000,127.268320000,38.076527000,127.268320000,38.076893000,127.268060000,38.077999425,127.267891330,38.076850000,127.268550000,38.078158052,127.268605339,38.076153000,127.268570000,38.076264282,127.268657816,38.076210000,127.268105000,38.075858700,127.268033958
24,24,825297857984,4.806,2.000000,38.060455000,127.269104000,797.000000,3180.232741,10494.289323,7314.056582,229.984947,46.912403,91.778459,103.050938,28.547581,34.107293,64.371068,103.050938,38.076430000,127.269005000,38.076430000,127.269005000,38.076820000,127.268760000,38.077639575,127.268646153,38.076767000,127.269240000,38.077688701,127.269349500,38.076060000,127.269230000,38.076303620,127.269331741,38.076130000,127.268776000,38.075830755,127.268692431
25,25,825297858185,5.007,2.000000,38.060528000,127.269130000,797.000000,3073.382553,6062.320202,2988.937649,97.252379,2.132105,14.561539,49.303187,8.248535,30.148159,25.565355,49.303187,38.076088000,127.269640000,38.076088000,127.269640000,38.076485000,127.269410000,38.076373380,127.269323357,38.076397000,127.269880000,38.076829711,127.269999976,38.075714000,127.269850000,38.075725222,127.269943044,38.075806000,127.269400000,38.075544339,127.269311257
26,26,825297858371,5.193,2.000000,38.060596000,127.269160000,797.000000,3126.453206,5766.061185,2639.607978,84.428194,4.065530,13.580958,23.450936,10.168585,23.773150,17.743407,23.773150,38.075996000,127.270290000,38.075996000,127.270290000,38.076400000,127.270080000,38.076503746,127.269998454,38.076310000,127.270540000,38.076499731,127.270656299,38.075590000,127.270480000,38.075639628,127.270577421,38.075720000,127.270040000,38.075520086,127.269944587
27,27,825297858575,5.397,2.000000,38.060670000,127.269180000,797.000000,3185.982241,4948.808196,1762.825955,55.330690,3.004125,7.995112,9.283480,8.803552,18.541274,11.155855,18.541274,38.075893000,127.270930000,38.075893000,127.270930000,38.076330000,127.270744000,38.076320193,127.270653617,38.076195000,127.271194000,38.076225343,127.271292678,38.075462000,127.271095000,38.075478372,127.271193286,38.075615000,127.270676000,38.075470158,127.270571532
28,28,825297858777,5.599,2.000000,38.060738000,127.269200000,797.000000,3438.911452,4846.709711,1407.798258,40.937322,3.560927,7.580556,11.023722,8.339941,9.861202,9.201355,11.023722,38.076344000,127.271190000,38.076344000,127.271190000,38.076790000,127.271000000,38.076801916,127.270914828,38.076653000,127.271460000,38.076584445,127.271550780,38.075886000,127.271355000,38.075863890,127.271445934,38.076042000,127.270920000,38.075992816,127.270826406
29,29,825297858979,5.801,2.000000,38.060810000,127.269230000,797.000000,3640.509932,5818.336892,2177.826960,59.822030,2.510933,9.181426,9.612339,8.881940,15.958263,10.908492,15.958263,38.076946000,127.270680000,38.076946000,127.270680000,38.077393000,127.270480000,38.077418112,127.270380198,38.077286000,127.270960000,38.077328448,127.271055525,38.076504000,127.270874000,38.076464538,127.270962094,38.076610000,127.270420000,38.076493365,127.270314117
30,30,825297859181,6.003,2.000000,38.060880000,127.269260000,797.000000,3489.677722,6174.528218,2684.850496,76.936918,8.754751,8.419760,11.983620,12.653791,31.976120,16.258323,31.976120,38.077020000,127.270020000,38.077020000,127.270020000,38.077427000,127.269790000,38.077403931,127.269698494,38.077354000,127.270280000,38.077427701,127.270379679,38.076603000,127.270230000,38.076514043,127.270319897,38.076683000,127.269770000,38.076406748,127.269670011
31,31,825297859384,6.206,2.000000,38.060950000,127.269280000,797.000000,3369.505544,8304.570109,4935.064564,146.462574,1.094824,33.028196,29.199133,8.176331,67.799304,34.550741,67.799304,38.077084000,127.269340000,38.077084000,127.269340000,38.077480000,127.269104000,38.077764664,127.268997747,38.077423000,127.269585000,38.077673177,127.269685132,38.076694000,127.269580000,38.076725646,127.269664202,38.076756000,127.269110000,38.076150821,127.269022887
32,32,825297859571,6.393,2.000000,38.061020000,127.269310000,797.000000,3201.149013,11938.644020,8737.495007,272.948712,19.366118,35.814024,57.727283,56.984036,112.753052,65.819599,112.753052,38.077168000,127.268530000,38.077168000,127.268530000,38.077530000,127.268265000,38.077839297,127.268152510,38.077515000,127.268750000,38.078029037,127.268836939,38.076805000,127.268780000,38.076300075,127.268886956,38.076860000,127.268310000,38.075847274,127.268287721
