sample_index,log_frame_index,timestamp,time_s,fov_deg,uav_lat,uav_lon,uav_alt,actual_area_m2,predicted_area_m2,area_error_m2,area_error_pct,centroid_error_m,corner_error_c1_m,corner_error_c2_m,corner_error_c3_m,corner_error_c4_m,mean_corner_error_m,max_corner_error_m,actual_center_lat,actual_center_lon,predicted_center_lat,predicted_center_lon,actual_c1_lat,actual_c1_lon,predicted_c1_lat,predicted_c1_lon,actual_c2_lat,actual_c2_lon,predicted_c2_lat,predicted_c2_lon,actual_c3_lat,actual_c3_lon,predicted_c3_lat,predicted_c3_lon,actual_c4_lat,actual_c4_lon,predicted_c4_lat,predicted_c4_lon
23,23,825297857780,4.602,2.000000,38.060387000,127.269080000,797.000000,3198.128679,13757.254460,10559.125782,330.165758,70.853498,122.787619,171.901820,27.213031,37.229332,89.782951,171.901820,38.076527000,127.268320000,38.076527000,127.268320000,38.076893000,127.268060000,38.077988096,127.267892342,38.076850000,127.268550000,38.078393743,127.268598792,38.076153000,127.268570000,38.076388284,127.268654281,38.076210000,127.268105000,38.075880439,127.268032719
24,24,825297857984,4.806,2.000000,38.060455000,127.269104000,797.000000,3180.232741,6460.058252,3279.825511,103.131619,13.195791,36.972118,97.742345,25.773211,33.393851,48.470381,97.742345,38.076430000,127.269005000,38.076430000,127.269005000,38.076820000,127.268760000,38.076494462,127.268676380,38.076767000,127.269240000,38.077640823,127.269349120,38.076060000,127.269230000,38.076277255,127.269331658,38.076130000,127.268776000,38.075837402,127.268691966
25,25,825297858185,5.007,2.000000,38.060528000,127.269130000,797.000000,3073.382553,5662.425927,2589.043374,84.240843,2.570979,14.544833,43.021537,12.900633,30.369964,25.209242,43.021537,38.076088000,127.269640000,38.076088000,127.269640000,38.076485000,127.269410000,38.076373691,127.269323078,38.076397000,127.269880000,38.076772295,127.269997203,38.075714000,127.269850000,38.075800911,127.269947383,38.075806000,127.269400000,38.075542342,127.269310948
26,26,825297858371,5.193,2.000000,38.060596000,127.269160000,797.000000,3126.453206,5588.081728,2461.628522,78.735499,0.728311,10.413544,16.391422,8.164244,23.041659,14.502717,23.041659,38.075996000,127.270290000,38.075996000,127.270290000,38.076400000,127.270080000,38.076466276,127.269996135,38.076310000,127.270540000,38.076429096,127.270649998,38.075590000,127.270480000,38.075578429,127.270572000,38.075720000,127.270040000,38.075527113,127.269944613
27,27,825297858575,5.397,2.000000,38.060670000,127.269180000,797.000000,3185.982241,4993.932772,1807.950531,56.747037,0.871414,7.830202,11.257791,8.951819,15.650728,10.922635,15.650728,38.075893000,127.270930000,38.075893000,127.270930000,38.076330000,127.270744000,38.076334785,127.270654852,38.076195000,127.271194000,38.076255529,127.271296917,38.075462000,127.271095000,38.075482053,127.271193927,38.075615000,127.270676000,38.075499508,127.270574152
28,28,825297858777,5.599,2.000000,38.060738000,127.269200000,797.000000,3438.911452,5361.840638,1922.929185,55.916798,0.763979,7.721573,11.404881,8.319317,12.115915,9.890421,12.115915,38.076344000,127.271190000,38.076344000,127.271190000,38.076790000,127.271000000,38.076809494,127.270915435,38.076653000,127.271460000,38.076708513,127.271569387,38.075886000,127.271355000,38.075865878,127.271446431,38.076042000,127.270920000,38.075964313,127.270823165
29,29,825297858979,5.801,2.000000,38.060810000,127.269230000,797.000000,3640.509932,5583.366335,1942.856403,53.367700,0.711305,9.313150,10.597503,8.100225,11.222896,9.808443,11.222896,38.076946000,127.270680000,38.076946000,127.270680000,38.077393000,127.270480000,38.077422141,127.270380376,38.077286000,127.270960000,38.077342648,127.271057195,38.076504000,127.270874000,38.076502755,127.270966424,38.076610000,127.270420000,38.076549164,127.270317872
30,30,825297859181,6.003,2.000000,38.060880000,127.269260000,797.000000,3489.677722,5889.556648,2399.878926,68.770790,1.553038,9.531124,12.828443,8.972833,19.275769,12.652042,19.275769,38.077020000,127.270020000,38.077020000,127.270020000,38.077427000,127.269790000,38.077475425,127.269700300,38.077354000,127.270280000,38.077437828,127.270380455,38.076603000,127.270230000,38.076570727,127.270323830,38.076683000,127.269770000,38.076527545,127.269673111
31,31,825297859384,6.206,2.000000,38.060950000,127.269280000,797.000000,3369.505544,7888.190736,4518.685191,134.105290,6.683105,19.201982,26.010499,8.638175,72.915910,31.691642,72.915910,38.077084000,127.269340000,38.077084000,127.269340000,38.077480000,127.269104000,38.077631670,127.268999625,38.077423000,127.269585000,38.077643065,127.269684757,38.076694000,127.269580000,38.076733630,127.269664752,38.076756000,127.269110000,38.076104548,127.269023328
32,32,825297859571,6.393,2.000000,38.061020000,127.269310000,797.000000,3201.149013,12058.401115,8857.252103,276.689778,8.495214,44.096968,71.769404,43.502860,105.527958,66.224298,105.527958,38.077168000,127.268530000,38.077168000,127.268530000,38.077530000,127.268265000,38.077915166,127.268147427,38.077515000,127.268750000,38.078156376,127.268833257,38.076805000,127.268780000,38.076422782,127.268883425,38.076860000,127.268310000,38.075912258,127.268283370
33,33,825297859773,6.595,2.000000,38.061092000,127.269330000,797.000000,3015.611472,13460.447975,10444.836503,346.358826,39.612257,42.319016,44.829885,102.580627,141.327725,82.764313,141.327725,38.077213000,127.267840000,38.077213000,127.267840000,38.077530000,127.267560000,38.077896296,127.267430774,38.077553000,127.268040000,38.077950984,127.268118176,38.076890000,127.268105000,38.075976823,127.268261954,38.076900000,127.267630000,38.075631168,127.267684939
