sample_index,log_frame_index,timestamp,time_s,fov_deg,uav_lat,uav_lon,uav_alt,actual_area_m2,predicted_area_m2,area_error_m2,area_error_pct,centroid_error_m,corner_error_c1_m,corner_error_c2_m,corner_error_c3_m,corner_error_c4_m,mean_corner_error_m,max_corner_error_m,actual_center_lat,actual_center_lon,predicted_center_lat,predicted_center_lon,actual_c1_lat,actual_c1_lon,predicted_c1_lat,predicted_c1_lon,actual_c2_lat,actual_c2_lon,predicted_c2_lat,predicted_c2_lon,actual_c3_lat,actual_c3_lon,predicted_c3_lat,predicted_c3_lon,actual_c4_lat,actual_c4_lon,predicted_c4_lat,predicted_c4_lon
23,23,826613796516,1.800,10.000000,38.011275217,127.245536513,987.185106,10925.313801,10971.867305,46.553504,0.426107,0.110029,0.169607,0.204895,0.159368,0.399355,0.233306,0.399355,38.011253652,127.245524997,38.011253652,127.245524997,38.010686913,127.246084356,38.010685455,127.246084917,38.011171487,127.244617593,38.011171461,127.244615257,38.011823347,127.244962518,38.011822792,127.244964193,38.011335245,127.246425238,38.011335450,127.246429784
24,24,826613796583,1.867,10.000000,38.011296796,127.245548036,986.630147,10914.449937,10959.983963,45.534026,0.417190,0.114992,0.148142,0.189342,0.162257,0.427232,0.231743,0.427232,38.011275229,127.245536519,38.011275229,127.245536519,38.010708627,127.246095727,38.010707336,127.246096140,38.011193092,127.244629499,38.011193091,127.244627341,38.011844678,127.244974272,38.011844104,127.244975973,38.011356751,127.246435949,38.011356983,127.246440811
25,25,826613796649,1.933,10.000000,38.011318380,127.245559562,986.078031,10903.848722,10948.311253,44.462531,0.407769,0.121064,0.125716,0.174067,0.166677,0.457368,0.230957,0.457368,38.011296811,127.245548044,38.011296811,127.245548044,38.010730332,127.246107113,38.010729220,127.246107368,38.011214702,127.244641406,38.011214725,127.244639422,38.011866019,127.244986023,38.011865416,127.244987762,38.011378263,127.246446671,38.011378523,127.246451875
26,26,826613796783,2.067,10.000000,38.011361563,127.245582622,984.982466,10883.620989,10925.722324,42.101335,0.386832,0.130890,0.099483,0.144518,0.172155,0.490054,0.226552,0.490054,38.011339989,127.245571102,38.011339989,127.245571102,38.010773874,127.246129786,38.010772982,127.246129851,38.011257936,127.244665219,38.011258005,127.244663573,38.011908673,127.245009580,38.011908036,127.245011368,38.011421331,127.246468539,38.011421625,127.246474114
27,27,826613796849,2.133,10.000000,38.011383162,127.245594157,984.439058,10873.284220,10914.785075,41.500855,0.381677,0.135959,0.091156,0.130244,0.171323,0.505494,0.224554,0.505494,38.011361587,127.245582635,38.011361587,127.245582635,38.010795682,127.246141100,38.010794863,127.246141104,38.011279560,127.244677125,38.011279652,127.244675645,38.011929971,127.245021401,38.011929344,127.245023185,38.011442877,127.246479539,38.011443187,127.246485289
28,28,826613796916,2.200,10.000000,38.011404767,127.245605694,983.898582,10862.783502,10904.070653,41.287152,0.380079,0.142348,0.084788,0.116108,0.170354,0.524289,0.223885,0.524289,38.011383189,127.245594171,38.011383189,127.245594171,38.010817505,127.246152408,38.010816744,127.246152365,38.011301190,127.244689031,38.011301304,127.244687715,38.011951267,127.245033233,38.011950651,127.245035012,38.011464429,127.246490539,38.011464757,127.246496502
29,29,826613796983,2.267,10.000000,38.011426377,127.245617234,983.361042,10851.287227,10893.575979,42.288752,0.389712,0.151531,0.088332,0.102189,0.167718,0.546384,0.226156,0.546384,38.011404749,127.245605684,38.011404749,127.245605684,38.010839371,127.246163613,38.010838577,127.246163608,38.011322776,127.244700912,38.011322914,127.244699760,38.011972500,127.245045063,38.011971910,127.245046822,38.011485938,127.246501514,38.011486287,127.246507727
30,30,826613797049,2.333,10.000000,38.011447992,127.245628776,982.826436,10837.963345,10883.308809,45.345463,0.418395,0.167138,0.116791,0.088501,0.167119,0.571902,0.236078,0.571902,38.011426362,127.245617226,38.011426362,127.245617226,38.010861492,127.246174658,38.010860458,127.246174885,38.011344415,127.244712817,38.011344575,127.244711829,38.011993797,127.245056911,38.011993215,127.245058667,38.011507499,127.246512513,38.011507872,127.246519016
31,31,826613797116,2.400,10.000000,38.011469612,127.245640322,982.294762,10824.646086,10873.266330,48.620244,0.449162,0.183737,0.147861,0.076651,0.168551,0.600812,0.248469,0.600812,38.011447979,127.245628770,38.011447979,127.245628770,38.010883616,127.246185708,38.010882338,127.246186169,38.011366061,127.244724741,38.011366242,127.244723897,38.012015108,127.245068751,38.012014519,127.245070521,38.011529065,127.246523512,38.011529465,127.246530344
32,32,826613797249,2.533,10.000000,38.011512867,127.245663421,981.240181,10797.529582,10849.274897,51.745315,0.479233,0.202016,0.214134,0.064782,0.177548,0.600357,0.264205,0.600357,38.011491230,127.245651866,38.011491230,127.245651866,38.010927875,127.246207821,38.010926099,127.246208760,38.011409383,127.244748724,38.011409589,127.244748033,38.012057776,127.245092410,38.012057125,127.245094258,38.011572212,127.246545509,38.011572621,127.246552335
